sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note
Lac Ancestor,1.27852055264822,0.0641732140903134,0.195307426142637,15.0551169609048,3.54900576106987,12.1508762193017,12.0817886904762,0.0270576561931003,
Lac Ancestor,1.28698472196216,0.0685891023250876,0.185188273122227,15.5363862625441,3.74293236215048,11.8285915616812,11.7584636904762,0.0274753081618641,
Lac Ancestor,1.27132146349398,0.0733207173221833,0.180148409330466,15.5070267094614,3.847645300539,11.7613329997203,11.6876261904762,0.0289261536085465,
Lac Ancestor,1.12918151260626,0.0705854064826451,0.186585297831493,14.5128019006541,3.7149078122218,11.2738568836535,11.1954136904762,0.0281553144182029,
Lac Ancestor,0.993216533798724,0.0655157110867973,0.199364333288984,13.2943504485713,3.47678628932694,10.8502005914092,10.7713761904762,0.0263809433458627,
Lac Ancestor,1.00962341233257,0.0656741441932499,0.19838361538486,13.435419621739,3.49397393134132,10.9141652572521,10.8309011904762,0.0272992398520898,
Lac Ancestor,1.09442310057798,0.0842483687235787,0.190165894600168,13.0628543841555,3.64496053310357,12.1864357168845,12.1031886904762,0.0322632568227716,
Lac Ancestor,1.15423785453124,0.0847471351372488,0.185034599601295,13.7015775126939,3.74604091371837,12.2761202162264,12.1933136904762,0.0328078499521514,
Lac Ancestor,1.16548662091199,0.0847684402742738,0.18594280393363,13.6894664401558,3.72774404761239,12.4032513593304,12.3212636904762,0.0327777078503584,
PA14 pilA,1.3462538400579,0.0469755054472284,0.206454630202313,16.0807144585337,3.35738258754819,11.5911978868404,11.5639886904762,0.0285377354831565,
PA14 pilA,1.38762561577099,0.0511003858296141,0.200534737728896,16.2766630975043,3.4564943132048,11.7907922156507,11.7558136904762,0.0283105731589618,
PA14 pilA,1.40019442690199,0.0510249993935333,0.202175939619174,16.1984099224235,3.42843555897692,11.966944312791,11.9343136904762,0.0284554040792953,
PA14 pilA,1.43400310408006,0.0581361946414835,0.189598453060906,16.6881680657036,3.65586938801279,11.8598632377203,11.8304136904762,0.0317096944093635,
PA14 pilA,1.41298051407758,0.058150874378859,0.195461244034779,16.1074902512554,3.54621287704795,12.2488582060664,12.2182261904762,0.0316306331831975,
PA14 pilA,1.3791395520581,0.0494597943536006,0.202352064853681,16.2663687502767,3.42545148259868,11.7109831466252,11.6835636904762,0.0274688808589502,
PA14 pilA,1.30758539001938,0.0526765086090501,0.19382420462621,16.3583730492618,3.57616419423302,11.0968624317847,11.0640886904762,0.0300100296969991,
PA14 pilA,1.37807107354546,0.0567586550761071,0.185483412083096,16.9695639389788,3.73697665346708,11.160156261417,11.1197761904762,0.0307577347300471,
PA14 pilA,1.37350006577162,0.0544377703052819,0.189098268791925,16.8569399458639,3.66553953660281,11.1904260708231,11.1503386904762,0.0291931341663135,
B1,0.438809518561952,0.0321256090272296,0.214637371474281,11.8263782776429,3.22938720223287,5.33112289440888,5.28932619047619,0.019913453749546,
B1,0.431325511657119,0.0384293729052996,0.217692958504549,10.6789086258256,3.18405880154116,5.66696763597771,5.62486369047619,0.0199360000873429,
B1,0.416825770091357,0.0340708502183582,0.214590547023255,11.2724103443337,3.23009186646433,5.26212882932899,5.21895119047619,0.0200998042428635,
B1,0.431066338210029,0.0412753240434885,0.206837460261205,10.8556056090364,3.35116849570965,5.58945688592924,5.55550119047619,0.018102618549478,
B1,0.441959675757347,0.03988988600477,0.207093050928694,11.1568343861172,3.34703254141835,5.6186148219956,5.58250119047619,0.0195811448182721,
B1,0.422830866289494,0.0393427492582139,0.213319809121475,10.6740998365709,3.2493333995308,5.55327705499989,5.51741369047619,0.018241348548836,
B1,0.443671160875419,0.0378215295153015,0.209481309506658,11.3284771137699,3.30887362787808,5.5772439123322,5.54340119047619,0.0178278186194137,
B1,0.452364332806537,0.0373638927337404,0.20503129638035,11.742474539199,3.38068964493157,5.52652828405936,5.49730119047619,0.0173387035678433,
B1,0.472203684038217,0.0370971132610114,0.197236098298374,12.4827648473432,3.51430182679527,5.47761542211546,5.44493869047619,0.019078215376229,
new G1,0.426884740215785,0.0256735188316407,0.293750725895089,9.35836993031812,2.35964414538161,6.17971722757884,6.09708869047619,0.0280173126779528,
new G1,0.388975894773093,0.0093557388960709,0.444390347864259,8.33317204145033,1.55977100738396,6.0735366674259,5.99693869047619,0.0301656045200358,
new G1,0.385923137272015,0.00696593883912282,0.510843534024644,7.82312118611583,1.35686787517703,6.22946573777008,6.16910119047619,0.0296242968451081,
new G1,0.439539298356675,0.0207313513828926,0.340235598090828,8.83436464973678,2.03725649064771,6.61087368490305,6.53255119047619,0.026740680866841,
new G1,0.421531443886959,0.0124535190665175,0.398304709461015,8.7669122188827,1.74024349724087,6.39193746637355,6.32082619047619,0.0234327249554087,
new G1,0.408819407551921,0.0098822456320243,0.429061268146779,8.61896520026984,1.61549697448529,6.26604641968978,6.21045119047619,0.0211467891904304,
new G1,0.690884128968022,0.0685521159889964,0.138080800245958,15.9752800966681,5.01986647908521,6.44893125483835,6.37516369047619,0.0435472577652652,
new G1,0.528285278088012,0.0586537757310642,0.17839118223587,11.661430644752,3.88554620173693,6.48063454061892,6.40130119047619,0.0397366542578575,
new G1,0.439157763715392,0.053080798641305,0.213541783573298,9.29195894323803,3.24595575142803,6.28129629550493,6.21422619047619,0.0351572859992075,
