Competitions,Hours,Day,Frequency,Date,Lac_CFU_i,Lac_CFU_f,Comp_CFU_i,Comp_CFU_f,Pop_CFU_i,Pop_CFU_f,Lac_proportion_i,Lac_proportion_f,Comp_proportion_i,Comp_proportion_f,Replicate,Lac_marker,Competitor,ln(final_Lac / initial_Lac),ln(final_Comp / initial_Comp),Selection_rate_lac,Selection_rate_comp
PA14 pilA vs new G1,24,1,99:1,2024-03-28,9.30E+05,2.00E+09,2.50E+05,1.50E+09,1.18E+06,3.50E+09,0.7881356,0.571428571,0.211864407,0.428571429,3,new G1,PA14 pilA,7.673473152,8.699514748,-1.026041596,1.026041596
PA14 pilA vs B1,24,1,1:9,2024-03-28,1.80E+05,4.00E+07,4.40E+06,3.60E+09,4.58E+06,3.64E+09,0.0393013,0.010989011,0.960698690,0.989010989,1,B1,PA14 pilA,5.403677882,6.707084584,-1.303406701,1.303406701
PA14 pilA vs B1,24,1,1:9,2024-03-28,1.30E+05,1.00E+07,4.90E+06,3.30E+09,5.03E+06,3.31E+09,0.0258449,0.003021148,0.974155070,0.996978852,2,B1,PA14 pilA,4.342805922,6.512442542,-2.169636621,2.169636621
PA14 pilA vs B1,24,1,1:9,2024-03-28,2.10E+05,5.00E+07,6.70E+06,2.50E+09,6.91E+06,2.55E+09,0.0303907,0.019607843,0.969609262,0.980392157,3,B1,PA14 pilA,5.472670754,5.921938484,-0.449267731,0.449267731
PA14 pilA vs B1,24,1,9:1,2024-03-28,9.20E+05,1.30E+08,6.40E+05,1.92E+09,1.56E+06,2.05E+09,0.5897436,0.063414634,0.410256410,0.936585366,1,B1,PA14 pilA,4.950916059,8.006367568,-3.055451508,3.055451508
PA14 pilA vs B1,24,1,9:1,2024-03-28,8.10E+05,1.30E+08,6.20E+05,2.01E+09,1.43E+06,2.14E+09,0.5664336,0.060747664,0.433566434,0.939252336,2,B1,PA14 pilA,5.078255482,8.083925802,-3.00567032,3.00567032
PA14 pilA vs B1,24,1,9:1,2024-03-28,1.71E+06,1.80E+08,9.10E+05,2.08E+09,2.62E+06,2.26E+09,0.6526718,0.079646018,0.347328244,0.920353982,3,B1,PA14 pilA,4.65646348,7.734433852,-3.077970372,3.077970372
PA14 pilA vs B1,24,1,99:1,2024-03-28,1.43E+06,4.20E+08,1.50E+05,1.64E+09,1.58E+06,2.06E+09,0.9050633,0.203883495,0.094936709,0.796116505,1,B1,PA14 pilA,5.682580267,9.299571506,-3.616991239,3.616991239
PA14 pilA vs B1,24,1,99:1,2024-03-28,1.32E+06,5.30E+08,1.90E+05,1.42E+09,1.51E+06,1.95E+09,0.8741722,0.271794872,0.125827815,0.728205128,2,B1,PA14 pilA,5.99524527,8.919143357,-2.923898087,2.923898087
PA14 pilA vs B1,24,1,99:1,2024-03-28,1.60E+06,3.30E+08,2.90E+05,7.60E+08,1.89E+06,1.09E+09,0.8465608,0.302752294,0.153439153,0.697247706,3,B1,PA14 pilA,5.329089025,7.871192789,-2.542103764,2.542103764
PA14 Ancestor vs Lac Ancestor,24,1,1:1,2023-08-17,8.40E+06,3.11E+09,2.70E+06,1.79E+09,1.11E+07,4.90E+09,0.7567568,0.634693878,0.243243243,0.365306122,1,Lac Ancestor,PA14 Ancestor,5.914146299,6.496719126,-0.582572827,0.582572827
PA14 Ancestor vs Lac Ancestor,24,1,1:1,2023-08-17,4.00E+06,2.70E+09,2.60E+06,2.33E+09,6.60E+06,5.03E+09,0.6060606,0.536779324,0.393939394,0.463220676,2,Lac Ancestor,PA14 Ancestor,6.514712691,6.798112102,-0.283399411,0.283399411
PA14 Ancestor vs Lac Ancestor,24,1,1:1,2023-08-17,3.60E+06,2.24E+09,3.40E+06,1.93E+09,7.00E+06,4.17E+09,0.5142857,0.537170264,0.485714286,0.462829736,3,Lac Ancestor,PA14 Ancestor,6.433297299,6.34149985,0.091797449,-0.091797449
PA14 Ancestor vs Lac Ancestor,24,1,9:1,2023-08-17,1.70E+06,8.00E+08,5.40E+06,4.24E+09,7.10E+06,5.04E+09,0.2394366,0.158730159,0.760563380,0.841269841,1,Lac Ancestor,PA14 Ancestor,6.153983477,6.665919595,-0.511936118,0.511936118
PA14 Ancestor vs Lac Ancestor,24,1,9:1,2023-08-17,9.00E+05,5.90E+08,6.60E+06,3.18E+09,7.50E+06,3.77E+09,0.1200000,0.156498674,0.880000000,0.843501326,2,Lac Ancestor,PA14 Ancestor,6.485483053,6.177566827,0.307916226,-0.307916226
PA14 Ancestor vs Lac Ancestor,24,1,9:1,2023-08-17,1.00E+06,6.50E+08,5.40E+06,4.18E+09,6.40E+06,4.83E+09,0.1562500,0.134575569,0.843750000,0.865424431,3,Lac Ancestor,PA14 Ancestor,6.476972363,6.651667572,-0.174695209,0.174695209
PA14 Ancestor vs Lac Ancestor,24,1,1:9,2023-08-17,2.39E+07,3.36E+09,1.70E+06,3.40E+08,2.56E+07,3.70E+09,0.9335938,0.908108108,0.066406250,0.091891892,1,Lac Ancestor,PA14 Ancestor,4.945817794,5.298317367,-0.352499573,0.352499573
PA14 Ancestor vs Lac Ancestor,24,1,1:9,2023-08-17,1.19E+07,2.49E+09,1.50E+06,3.70E+08,1.34E+07,2.86E+09,0.8880597,0.870629371,0.111940299,0.129370629,2,Lac Ancestor,PA14 Ancestor,5.343499589,5.508037898,-0.164538308,0.164538308
PA14 Ancestor vs Lac Ancestor,24,1,1:9,2023-08-17,9.60E+06,3.20E+09,1.40E+06,3.20E+08,1.10E+07,3.52E+09,0.8727273,0.909090909,0.127272727,0.090909091,3,Lac Ancestor,PA14 Ancestor,5.80914299,5.431848759,0.377294231,-0.377294231
PA14 Ancestor vs delPf5,24,1,1:1,2023-08-17,4.30E+06,1.84E+09,4.20E+06,1.72E+09,8.50E+06,3.56E+09,0.5058824,0.516853933,0.494117647,0.483146067,1,delPf5,PA14 Ancestor,6.058905828,6.014995045,0.043910783,-0.043910783
PA14 Ancestor vs delPf5,24,1,1:1,2023-08-17,2.50E+06,2.33E+09,3.60E+06,2.05E+09,6.10E+06,4.38E+09,0.4098361,0.531963470,0.590163934,0.468036530,2,delPf5,PA14 Ancestor,6.837332815,6.344661227,0.492671588,-0.492671588
PA14 Ancestor vs delPf5,24,1,1:1,2023-08-17,3.30E+06,1.80E+09,3.00E+06,1.90E+09,6.30E+06,3.70E+09,0.5238095,0.486486486,0.476190476,0.513513514,3,delPf5,PA14 Ancestor,6.301619475,6.450996876,-0.149377401,0.149377401
PA14 Ancestor vs delPf5,24,1,9:1,2023-08-17,1.30E+06,4.40E+08,8.10E+06,3.76E+09,9.40E+06,4.20E+09,0.1382979,0.104761905,0.861702128,0.895238095,1,delPf5,PA14 Ancestor,5.824410462,6.140310175,-0.315899712,0.315899712
PA14 Ancestor vs delPf5,24,1,9:1,2023-08-17,1.40E+06,2.40E+08,9.20E+06,3.82E+09,1.06E+07,4.06E+09,0.1320755,0.059113300,0.867924528,0.940886700,2,delPf5,PA14 Ancestor,5.144166687,6.028802218,-0.884635531,0.884635531
PA14 Ancestor vs delPf5,24,1,9:1,2023-08-17,1.10E+06,3.70E+08,8.50E+06,3.99E+09,9.60E+06,4.36E+09,0.1145833,0.084862385,0.885416667,0.915137615,3,delPf5,PA14 Ancestor,5.818192826,6.151480346,-0.333287521,0.333287521
PA14 Ancestor vs delPf5,24,1,1:9,2023-08-17,7.90E+06,2.98E+09,1.00E+06,4.30E+08,8.90E+06,3.41E+09,0.8876404,0.873900293,0.112359551,0.126099707,1,delPf5,PA14 Ancestor,5.93281582,6.063785209,-0.130969389,0.130969389
PA14 Ancestor vs delPf5,24,1,1:9,2023-08-17,8.60E+06,3.19E+09,1.80E+06,1.80E+08,1.04E+07,3.37E+09,0.8269231,0.946587537,0.173076923,0.053412463,2,delPf5,PA14 Ancestor,5.916013993,4.605170186,1.310843807,-1.310843807
PA14 Ancestor vs delPf5,24,1,1:9,2023-08-17,1.09E+07,3.90E+09,1.20E+06,4.70E+08,1.21E+07,4.37E+09,0.9008264,0.892448513,0.099173554,0.107551487,3,delPf5,PA14 Ancestor,5.879969043,5.970411138,-0.090442095,0.090442095
